WordForm,WF_PoS,length
一年半载,3,4
歪门邪道,3,4
全权代表,3,4
千难万险,3,4
四平八稳,3,4
水力发电,3,4
大江南北,3,4
家长里短,3,4
寡廉鲜耻,3,4
寻根究底,3,4
崇山峻岭,3,4
旷日持久,3,4
曾经沧海,3,4
有条有理,3,4
正经八百,3,4
油盐酱醋,3,4
红男绿女,3,4
荒山野岭,3,4
清心寡欲,3,4
渔翁得利,3,4
豪言壮语,3,4
针头线脑,3,4
阳春白雪,3,4
火力发电,3,4
燃眉之急,3,4
独到之处,3,4
理直气壮,3,4
生产能力,3,4
生拉硬拽,3,4
生机蓬勃,3,4
田径运动,3,4
百尺竿头,3,4
破烂不堪,3,4
社会制度,3,4
社会活动,3,4
稀有元素,3,4
粗枝大叶,3,4
精雕细琢,3,4
绵绵不绝,3,4
羊肠小道,3,4
肝肠寸断,3,4
自由王国,3,4
良苦用心,3,4
花花肠子,3,4
茹毛饮血,3,4
草本植物,3,4
觥筹交错,3,4
起早贪黑,3,4
踌躇满志,3,4
身外之物,3,4
身强体壮,3,4
过眼烟云,3,4
近水楼台,3,4
长篇小说,3,4
问卷调查,3,4
阶级斗争,3,4
陈规陋习,3,4
难兄难弟,3,4
音容笑貌,3,4
风格各异,3,4
风水宝地,3,4
风烛残年,3,4
黄粱一梦,3,4
黄色炸药,3,4
一朝一夕,2,4
一般无二,2,4
七窍生烟,2,4
万水千山,2,4
万贯家财,2,4
三番五次,2,4
世态炎凉,2,4
主任医师,2,4
乡土气息,2,4
仁者见仁,2,4
令人叹服,2,4
令人堪忧,2,4
令人注目,2,4
众星捧月,2,4
低级趣味,2,4
初等教育,2,4
剩余价值,2,4
千里之行,2,4
卫生防疫,2,4
古道热肠,2,4
同业公会,2,4
同命相连,2,4
同心同德,2,4
名不符实,2,4
喜闻乐见,2,4
嗟来之食,2,4
嚣张气焰,2,4
土地改革,2,4
地下铁道,2,4
垂暮之年,2,4
声色俱厉,2,4
大案要案,2,4
大步流星,2,4
头面人物,2,4
如花似玉,2,4
小本经营,2,4
少年儿童,2,4
峥嵘岁月,2,4
差之毫厘,2,4
应用科学,2,4
异彩纷呈,2,4
强弩之末,2,4
强权政治,2,4
影影绰绰,2,4
得天独厚,2,4
必由之路,2,4
思想解放,2,4
悠然自得,2,4
感觉神经,2,4
技术学校,2,4
抗坏血酸,2,4
携手并肩,2,4
攻守同盟,2,4
整体而言,2,4
旁门左道,2,4
无为而治,2,4
有价证券,2,4
有根有据,2,4
正面人物,2,4
死水一潭,2,4
残垣断壁,2,4
民主改革,2,4
气绝身亡,2,4
沉鱼落雁,2,4
流水作业,2,4
温暖如春,2,4
渺无人烟,2,4
万家灯火,2,4
五湖四海,2,4
人工降雨,2,4
人烟稀少,2,4
燎原之势,2,4
你中有我,2,4
牛头马面,2,4
凤毛麟角,2,4
千军万马,2,4
千山万水,2,4
善男信女,2,4
固定资产,2,4
头昏脑涨,2,4
威风凛凛,2,4
官僚资本,2,4
廉颇老矣,2,4
心急火燎,2,4
排山倒海,2,4
无独有偶,2,4
痛快淋漓,2,4
百年不遇,2,4
漫山遍野,2,4
皮开肉绽,2,4
物理疗法,2,4
福如东海,2,4
眉清目秀,2,4
繁花似锦,2,4
真名实姓,2,4
真才实学,2,4
真知灼见,2,4
石破天惊,2,4
社会名流,2,4
祖祖辈辈,2,4
神乎其神,2,4
银装素裹,2,4
集体所有,2,4
糖衣炮弹,2,4
组织关系,2,4
经济作物,2,4
经济特区,2,4
群情激奋,2,4
羽翼渐丰,2,4
老泪纵横,2,4
肯尼亚人,2,4
脑力劳动,2,4
膘肥体壮,2,4
自不必说,2,4
良性肿瘤,2,4
虎虎生威,2,4
说法不一,2,4
诸多不便,2,4
谁是谁非,2,4
调兵遣将,2,4
豆蔻年华,2,4
贪官污吏,2,4
连篇累牍,2,4
金字招牌,2,4
金榜题名,2,4
闲情逸致,2,4
高级中学,2,4
高风亮节,2,4
默默无言,2,4
一古脑儿,1,4
一方平安,1,4
一时一刻,1,4
一来二去,1,4
一纸空文,1,4
一股脑儿,1,4
一草一木,1,4
一路风尘,1,4
一身正气,1,4
一针一线,1,4
万户千家,1,4
万般无奈,1,4
万语千言,1,4
万里长征,1,4
三天两头,1,4
三角函数,1,4
不伦不类,1,4
不可名状,1,4
不肖子孙,1,4
丝绸之路,1,4
中篇小说,1,4
义无返顾,1,4
产业工人,1,4
人心所向,1,4
人所共知,1,4
人文主义,1,4
人民公社,1,4
人民法院,1,4
人行横道,1,4
令人寒心,1,4
优哉游哉,1,4
传真电报,1,4
军事科学,1,4
农民起义,1,4
冰清玉洁,1,4
切身利益,1,4
刚直不阿,1,4
初级中学,1,4
化学工业,1,4
十二生肖,1,4
千姿百态,1,4
反面人物,1,4
取信于民,1,4
古稀之年,1,4
各家各户,1,4
合成染料,1,4
合成橡胶,1,4
后事之师,1,4
君主专制,1,4
国事访问,1,4
国家栋梁,1,4
国色天香,1,4
地覆天翻,1,4
坛坛罐罐,1,4
基础教育,1,4
多姿多态,1,4
多彩多姿,1,4
大致说来,1,4
奇谈怪论,1,4
奴隶社会,1,4
字正腔圆,1,4
安居工程,1,4
官样文章,1,4
封建王朝,1,4
尚方宝剑,1,4
工艺美术,1,4
常规战争,1,4
幅员辽阔,1,4
广阔无垠,1,4
弹丸之地,1,4
得意门生,1,4
微观世界,1,4
心神不安,1,4
心腹之患,1,4
忘年之交,1,4
患难之交,1,4
悲伤欲绝,1,4
悲欢离合,1,4
慈眉善目,1,4
承前启后,1,4
技术装备,1,4
文化教育,1,4
文明礼貌,1,4
新人新事,1,4
方寸之地,1,4
无土栽培,1,4
无本万利,1,4
无羁无束,1,4
明枪暗箭,1,4
易燃易爆,1,4
有机玻璃,1,4
有线广播,1,4
末梢神经,1,4
本本主义,1,4
朴实无华,1,4
枢机主教,1,4
欢蹦乱跳,1,4
民主革命,1,4
民脂民膏,1,4
民间艺术,1,4
气势如虹,1,4
污七八糟,1,4
法定人数,1,4
泱泱大国,1,4
浩浩荡荡,1,4
海角天涯,1,4
深情厚谊,1,4
混世魔王,1,4
满园春色,1,4
灯火辉煌,1,4
热闹非凡,1,4
爱民如子,1,4
牛鬼蛇神,1,4
物欲横流,1,4
物理化学,1,4
玄之又玄,1,4
珍禽异兽,1,4
生产方式,1,4
用兵一时,1,4
由上至下,1,4
由此看来,1,4
由浅入深,1,4
相形之下,1,4
矢志不移,1,4
礼仪之邦,1,4
社会形态,1,4
社会意识,1,4
神态自若,1,4
离愁别绪,1,4
等闲视之,1,4
粗茶淡饭,1,4
